ngram,size,n
policy acquisition,2,48
policy acquisition expenses,3,48
potential current beneficiary,3,48
pre july 1986 investment,4,48
previously taxed accumulated,3,48
previously taxed accumulated effectively,4,48
previously taxed accumulated effectively connected,5,48
previously taxed accumulated effectively connected earnings,6,48
prima facie,2,48
primary products,2,48
principal business,2,48
proposed installment agreement,3,48
prs activities,2,48
qualified housing,2,48
qualified production,2,48
ratable monthly,2,48
ratable monthly portion,3,48
raw material,2,48
reasonable expectation,2,48
recently disposed,2,48
recovery tax,2,48
remaining recovery period,3,48
reportable amount,2,48
required annual,2,48
retirement income account,3,48
retirement straight line property,4,48
scheduled maintenance,2,48
segregated asset accounts,3,48
separately determined,2,48
service credit,2,48
shareholder receives,2,48
short term capital gains,4,48
single unit,2,48
special basis adjustment,3,48
special refund,2,48
statutory monthly,2,48
straight line property,3,48
substantial valuation,2,48
survivor annuity requirements,3,48
taxed accumulated effectively,3,48
taxed accumulated effectively connected,4,48
taxed accumulated effectively connected earnings,5,48
taxpayer's principal residence,3,48
term holder,2,48
terminal operator,2,48
tertiary recovery method,3,48
total net,2,48
total netted,2,48
total netted partnership,3,48
total netted partnership adjustment,4,48
traded corporation,2,48
transaction costs,2,48
transaction occurring,2,48
u.s basis,2,48
u.s owners,2,48
unaffiliated dual resident corporation,4,48
underground storage,2,48
unemployment fund,2,48
vested retirement,2,48
wage payment,2,48
0 percent,2,47
1.6 1.6 1.6 1.6 1.6 1.6,6,47
10.0 10.0,2,47
3.3 3.1 2.9,3,47
4.1 4.1 4.1 4.1 4.1,5,47
5.7 5.7 5.7,3,47
73.7 72.7,2,47
74.7 73.7 72.7,3,47
abc corporation,2,47
account separately,2,47
acquisition premium,2,47
additional consideration,2,47
amount properly,2,47
applicable asset acquisition,3,47
applicable depreciation,2,47
applicable recovery period,3,47
average period,2,47
bargained plan,2,47
branch office,2,47
caas occurring,2,47
capital gain net income net capital,6,47
collectively bargained plan,3,47
commercial profits,2,47
comparable uncontrolled price,3,47
complete termination,2,47
considered timely,2,47
construction project,2,47
corporation satisfies,2,47
court decision,2,47
depository institution,2,47
direct cost,2,47
disposition loss,2,47
distributee partner's,2,47
distribution received,2,47
earliest taxable,2,47
economic life,2,47
employee benefit percentages,3,47
employee m's,2,47
employee owners,2,47
employee's normal,2,47
essential health,2,47
excess lobbying,2,47
excess lobbying expenditures,3,47
exemption certificates,2,47
expenditures attributable,2,47
extent applicable,2,47
extraordinary reduction amount,3,47
facility means,2,47
federal estate tax purposes,4,47
fee calculation,2,47
file consolidated returns,3,47
foreign subsidiaries,2,47
form 8938,2,47
form 8966,2,47
form ss,2,47
gain computed,2,47
gain net income net capital,5,47
gain net income net capital gain,6,47
gain treated,2,47
grantee organization,2,47
gross profit percentage,3,47
gross services profit,3,47
health reimbursement,2,47
identical property,2,47
income net capital gain,4,47
initial payment,2,47
issuing authority,2,47
lease payments,2,47
life annuity payable,3,47
life tenant,2,47
lifetime learning,2,47
limitation applicable,2,47
liquid assets,2,47
marketing activities,2,47
maximum rate,2,47
multiple employer plan,3,47
natural deposits,2,47
nearest multiple,2,47
net income net capital,4,47
net income net capital gain,5,47
noncash fringe,2,47
nondepreciable property,2,47
nonlife subgroup,2,47
nonrecognition treatment,2,47
nontaxable amount,2,47
notional account,2,47
operations conducted,2,47
ordinary business,2,47
ordinary income property,3,47
owned corporation,2,47
percent foreign,2,47
performance based compensation,3,47
person receives,2,47
person subject,2,47
personal residence trust,3,47
persons required,2,47
private payments,2,47
private shareholder,2,47
provide benefits,2,47
publication 1457,2,47
purposes pursuant,2,47
qualified conservation,2,47
qualified derivative,2,47
qualified matching contributions,3,47
qualified real estate investment trust,5,47
qualified reit dividends,3,47
qualified solid,2,47
qualified solid waste,3,47
qualifying insurance,2,47
quarter close,2,47
receipts attributable,2,47
received pursuant,2,47
redeemable ground rent,3,47
repurchase transaction,2,47
required contributions,2,47
required pursuant,2,47
resale price method,3,47
residence trust,2,47
s's gross,2,47
sale repurchase,2,47
seating capacity,2,47
services profit,2,47
shared responsibility,2,47
single life remainder,3,47
stock treated,2,47
structural component,2,47
substantial rights,2,47
t.d 8043,2,47
t.d 8879,2,47
term income,2,47
time spent,2,47
timely manner,2,47
traded securities,2,47
transaction subject,2,47
transactions subject,2,47
triangular reorganizations,2,47
u.s tax liability,3,47
vice versa,2,47
voluntary employees,2,47
voluntary employees beneficiary,3,47
water conservation expenditures,3,47
1.7 1.5 1.3,3,46
11.2 11.2,2,46
1256 positions,2,46
1296 election,2,46
1963 t.d,2,46
1979 t.d,2,46
4.4 4.4 4.4 4.4,4,46
4th month,2,46
63.9 62.9,2,46
accrual basis,2,46
active employees,2,46
active participant,2,46
administrative review,2,46
aggregate gross,2,46
aggregate production costs,3,46
agreement providing,2,46
allowance arrangement,2,46
aml due,2,46
aml due diligence,3,46
amounts collected,2,46
amounts equivalent,2,46
amounts expended,2,46
applicable premium,2,46
assigned operator,2,46
bargain sale,2,46
benefits based,2,46
bona fide residents,3,46
business corporations,2,46
business lease,2,46
business premises,2,46
cash balance,2,46
certified professional,2,46
certified professional employer,3,46
closing agreements,2,46
commercially reasonable,2,46
complex contract,2,46
constructive receipt,2,46
contract allocable,2,46
corporation's income,2,46
country corporation,2,46
decedent's surviving,2,46
decedent's surviving spouse,3,46
deductions allocated,2,46
deferred vested retirement benefit,4,46
dental benefits,2,46
depreciable assets,2,46
depreciation sustained,2,46
directly benefit,2,46
distributions attributable,2,46
double extension,2,46
dual consolidated losses,3,46
due dates,2,46
duties required,2,46
educational purposes,2,46
employee attains age,3,46
employee's employment,2,46
employment tax purposes,3,46
fide residents,2,46
filing consolidated,2,46
form 8283,2,46
fr 11737,2,46
furnish statements,2,46
fx stock,2,46
governing instruments,2,46
gross income method,3,46
hedged bonds,2,46
housing credit agencies,3,46
income reduced,2,46
incurred prior,2,46
indexed debt,2,46
information reflected,2,46
installment plan,2,46
international communications,2,46
investment company taxable,3,46
judicial proceedings,2,46
level premium,2,46
life annuities,2,46
limitation loss account,3,46
local income,2,46
local tax,2,46
loss carrybacks,2,46
maintains plan,2,46
months prior,2,46
negative consideration,2,46
net precontribution,2,46
net precontribution gain,3,46
nonrecourse liabilities,2,46
offset amount,2,46
originally issued,2,46
paper document,2,46
partnership immediately,2,46
partnership's basis,2,46
payment amount,2,46
payment settlement,2,46
permanent structure,2,46
person signing,2,46
personal expenditure,2,46
post modification,2,46
pre 1984,2,46
primary care,2,46
proc 2002,2,46
profit level,2,46
property means property,3,46
ptep account,2,46
public accountant,2,46
publicly traded corporation,3,46
qtip election,2,46
qualified clinical,2,46
qualified clinical testing,3,46
qualified production activities,3,46
qualified solid waste disposal,4,46
real property held,3,46
receive benefits,2,46
receiving plan,2,46
records maintained,2,46
remedial action,2,46
rental accrual,2,46
reporting method,2,46
requirements imposed,2,46
retroactive application,2,46
rev proc 2002,3,46
s1 shares,2,46
separate limitation loss account,4,46
shareholder's proportionate,2,46
shares acquired,2,46
silver level,2,46
single asset,2,46
special valuation rules,3,46
specific project,2,46
standard mortality,2,46
statutory groupings,2,46
substantial u.s owners,3,46
taxes deemed distributed,3,46
taxpayer begins,2,46
taxpayer engaged,2,46
taxpayer purchases,2,46
term contract method,3,46
term domestic,2,46
terminal income,2,46
total support,2,46
trust pursuant,2,46
twelve months,2,46
unrelated foreign,2,46
unused credits,2,46
vested retirement benefit,3,46
withholding obligation,2,46
1.9 1.7 1.5,3,45
11737 nov,2,45
2.1 2.1 2.1 2.1 2.1 2.1,6,45
2.8 2.8 2.8 2.8 2.8 2.8,6,45
2007 calendar,2,45
3.0 3.0 3.0 3.0 3.0 3.0,6,45
5.0 5.0 5.0 5.0,4,45
62.1 61.1,2,45
68.9 67.9,2,45
79.7 78.7,2,45
abuse rules,2,45
additional allowance deductible,3,45
adjustment period,2,45
allowance deductible,2,45
amounts allowable,2,45
amounts deducted,2,45
amounts deemed,2,45
anti abuse rules,3,45
applicable notice,2,45
avoidance plan,2,45
basis attributable,2,45
basis redetermination,2,45
benefit equal,2,45
benefit means,2,45
bonded wine cellar,3,45
burden rate,2,45
business exception,2,45
business simplified,2,45
business stock,2,45
capital account balances,3,45
capital contributions,2,45
carbon oxide,2,45
carryback period,2,45
claim therefor,2,45
compensation payable,2,45
complex trust,2,45
control means,2,45
controlled entities,2,45
controlled transactions,2,45
corporation treated,2,45
corporation wholly,2,45
corporation x's,2,45
corporations engaged,2,45
crediting service,2,45
credits allowable,2,45
current distribution,2,45
delinquent taxpayer,2,45
demand loan,2,45
disposition account,2,45
employee's total,2,45
equity structure shift,3,45
executor elects,2,45
expense allowance arrangement,3,45
experimental expense,2,45
extraordinary disposition account,3,45
fast pay stock,3,45
filing claim,2,45
financing entity,2,45
finished dosage,2,45
foreign parent,2,45
foundation makes,2,45
fr 11737 nov,3,45
function constituting,2,45
gross receipts attributable,3,45
harbor percentage,2,45
highway vehicles,2,45
holder's basis,2,45
immediately succeeding,2,45
impact method,2,45
inclusion period,2,45
income amounts,2,45
income realized,2,45
income tax consequences,3,45
income taxes imposed,3,45
inherently permanent structure,3,45
interstate commerce,2,45
issuance costs,2,45
leaking underground,2,45
leaking underground storage,3,45
leaking underground storage tank,4,45
leaking underground storage tank trust,5,45
leaking underground storage tank trust fund,6,45
liabilities incurred,2,45
liberty zone property,3,45
marginal impact,2,45
marginal impact method,3,45
married individual filing,3,45
matching employee,2,45
material income,2,45
material income producing,3,45
measuring period,2,45
medical services,2,45
minimum period,2,45
modified simplified,2,45
modified simplified production,3,45
modified simplified production method,4,45
monthly payment,2,45
net negative consideration,3,45
nonqualified written notices,3,45
offsetting positions,2,45
operating cost,2,45
optional method,2,45
outstanding indebtedness,2,45
outstanding principal balance,3,45
owner financing,2,45
paper statement,2,45
partnership ab,2,45
partnership estate,2,45
partnership loss,2,45
party network,2,45
passive nffe,2,45
pay stock,2,45
payment including,2,45
payment subject,2,45
percent requirement,2,45
periodic adjustment,2,45
power exercisable,2,45
principal addition,2,45
prohibited payment,2,45
properly completed,2,45
properly reflected,2,45
public highways,2,45
purchased property,2,45
qualified appraiser,2,45
qualified clinical testing expenses,4,45
qualified defined,2,45
quality control,2,45
ratable allocation,2,45
recent taxable,2,45
record maintenance,2,45
religious charitable,2,45
rental amount,2,45
return due,2,45
rigid foam,2,45
s's income,2,45
separate net,2,45
service employee,2,45
simplified marginal,2,45
simplified marginal impact,3,45
simplified marginal impact method,4,45
single account,2,45
sponsoring organization,2,45
stapled foreign,2,45
storage tank trust,3,45
storage tank trust fund,4,45
structure shift,2,45
subsequently determined,2,45
supreme court,2,45
t.d 7728,2,45
t.d 9811,2,45
tank trust,2,45
tank trust fund,3,45
tax assessment,2,45
tax avoidance plan,3,45
tax return form,3,45
taxable income derived,3,45
taxes due,2,45
taxpayer applies,2,45
term exempt,2,45
term financial,2,45
term insurance,2,45
timing rules,2,45
total base,2,45
total tax liability,3,45
underground storage tank,3,45
underground storage tank trust,4,45
underground storage tank trust fund,5,45
valid withholding certificate,3,45
variable yield,2,45
written statements,2,45
york liberty zone property,4,45
1.1502 21a,2,44
1.4 1.3,2,44
11910 nov,2,44
"15,000 15,000",2,44
1975 t.d,2,44
1991 t.d,2,44
2.1 1.9 1.7,3,44
2.3 2.3 2.3 2.3 2.3 2.3,6,44
3.6 3.6 3.6,3,44
6.5 6.5 6.5,3,44
72.7 71.7,2,44
72.8 71.8,2,44
accounting methods,2,44
acquires property,2,44
actual experience,2,44
additional contribution,2,44
alien spouse,2,44
allocable deductions,2,44
amount previously,2,44
annual federal,2,44
annual ptep,2,44
annual ptep account,3,44
anti avoidance,2,44
applicable employer plan,3,44
applicable portion,2,44
applicable revenue procedures,3,44
arm's length amount,3,44
articles taxable,2,44
asset transfer,2,44
attending classes,2,44
base erosion percentage,3,44
benefit formulas,2,44
business refiner,2,44
business tests,2,44
commodity futures,2,44
comparable uncontrolled transaction,3,44
compliance program,2,44
compliant ffis,2,44
computing adjusted current,3,44
computing adjusted current earnings,4,44
computing earnings,2,44
computing unrelated,2,44
computing unrelated business,3,44
consolidated basis,2,44
corporation ceases,2,44
corporation's taxable income,3,44
correct tin,2,44
custodial accounts,2,44
deduction claimed,2,44
deemed basis,2,44
deemed compliant ffis,3,44
deemed purchase,2,44
deferred arrangements,2,44
deposit obligation,2,44
determination dates,2,44
domestic source income,3,44
effect immediately,2,44
employee plans,2,44
employer stock,2,44
erosion percentage,2,44
